  4832,"-          ","04832   ", 9.90,+0.15,2455299.2265415,  9,  5, 12, 12,"DVBI", 52.058,  0.510,0.071,0.006,0.113,0.006,0.772,0.010,"-","Gr12b",""
  4833,"-          ","04833   ", 8.90,+0.15,2455206.4933695,  7,  7,  7,  7,"DVBI", 80.165,  0.939,0.076,0.012,0.123,0.015,0.758,0.013,"-","Gr12b",""
  4834,"-          ","04834   ", 9.00,+0.15,2455430.4724980, 12, 12, 12,  0,"DV-I", 72.331,  0.460,0.085,0.008,0.146,0.015,0.770,0.050,"-","Gr12b",""
  4835,"1989 BQ    ","04835   ",10.60,+0.15,2455505.9446495, 25,  0, 11,  0,"DV-I", 30.175,  2.493,0.112,0.032,0.171,0.036,0.770,0.050,"-","Gr12b",""
  4836,"-          ","04836   ", 9.50,+0.15,2455214.3050775, 12, 12, 12, 12,"DVBI", 63.277,  0.768,0.070,0.006,0.134,0.004,0.814,0.017,"-","Gr12b",""
  4867,"-          ","04867   ", 9.70,+0.15,2455317.5571805, 10,  0, 12, 13,"DVBI", 57.251,  0.786,0.071,0.009,0.124,0.011,0.761,0.020,"-","Gr12b",""
  4902,"-          ","04902   ", 9.80,+0.15,2455205.5719480, 10,  8, 10, 10,"DVBI", 51.263,  0.664,0.081,0.012,0.148,0.026,0.726,0.011,"-","Gr12b",""
  4946,"-          ","04946   ",10.10,+0.15,2455221.0559725, 13,  0, 16, 16,"DVBI", 48.209,  0.430,0.069,0.008,0.140,0.010,0.769,0.011,"-","Gr12b",""
  5012,"-          ","05012   ",10.50,+0.15,2455218.7078930,  9,  0, 10, 11,"DVBI", 36.960,  0.360,0.082,0.023,0.111,0.017,0.858,0.021,"-","Gr12b",""
  5023,"-          ","05023   ",10.30,+0.15,2455429.6737065,  4,  0,  4,  0,"DV-I", 27.850,  3.511,0.173,0.093,0.228,0.070,0.770,0.050,"-","Gr12b",""
  5025,"1986 TS6   ","05025   ",10.30,+0.15,2455433.7748840, 11,  0, 12,  0,"DV-I", 39.843,  3.637,0.084,0.009,0.103,0.011,0.770,0.050,"-","Gr12b",""
  5027,"-          ","05027   ", 9.60,+0.15,2455213.3112005, 12, 12, 12, 12,"DVBI", 59.786,  0.640,0.071,0.016,0.148,0.021,0.758,0.010,"-","Gr12b",""
  5028,"-          ","05028   ",10.20,+0.15,2455210.8663005, 11, 11, 11, 11,"DVBI", 50.770,  0.384,0.057,0.007,0.130,0.004,0.769,0.010,"-","Gr12b",""
  5041,"-          ","05041   ",10.60,+0.15,2455226.3510095,  0,  0, 12, 12,"DVB-", 41.899,  0.412,0.058,0.007,0.116,0.028,0.865,0.011,"-","Gr12b",""
  5119,"1988 RA1   ","05119   ",10.20,+0.15,2455297.5104720, 14, 14, 14, 14,"DVBI", 49.251,  0.518,0.061,0.008,0.122,0.018,0.773,0.018,"-","Gr12b",""
  5120,"-          ","05120   ", 9.50,+0.15,2455292.9454675, 20,  0, 24, 25,"DVBI", 47.987,  0.547,0.122,0.031,0.137,0.006,0.774,0.020,"-","Gr12b",""
  5123,"1989 BL    ","05123   ",10.10,+0.15,2455428.0892335,  8,  0,  6,  0,"DV-I", 35.387,  3.010,0.129,0.015,0.171,0.015,0.770,0.050,"-","Gr12b",""
  5126,"-          ","05126   ",10.30,+0.15,2455213.7065230, 10,  0, 12, 12,"DVBI", 51.922,  3.356,0.050,0.010,0.056,0.024,0.806,0.079,"-","Gr12b",""
  5130,"-          ","05130   ", 9.60,+0.15,2455361.7542230,  8,  0, 19, 11,"DVBI", 60.711,  0.982,0.069,0.013,0.108,0.014,0.774,0.025,"-","Gr12b",""
  5144,"-          ","05144   ", 8.90,+0.15,2455267.0765855,  0,  0, 11, 11,"DVB-", 80.958,  0.530,0.074,0.007,0.148,0.029,0.809,0.013,"-","Gr12b",""
  5209,"1989 CW1   ","05209   ",10.10,+0.15,2455238.3942505, 13, 10, 13, 13,"DVBI", 48.197,  0.258,0.069,0.014,0.145,0.017,0.782,0.016,"-","Gr12b",""
  5233,"1988 RL10  ","05233   ",11.40,+0.15,2455303.3300135,  0,  0, 12, 12,"DVB-", 29.035,  0.272,0.058,0.015,0.115,0.023,1.043,0.023,"-","Gr12b",""
  5244,"-          ","05244   ",10.40,+0.15,2455220.7916820, 12,  0, 13, 14,"DVBI", 36.689,  0.691,0.091,0.018,0.155,0.023,0.992,0.025,"-","Gr12b",""
  5254,"-          ","05254   ", 9.10,+0.15,2455439.0369305, 12, 12, 12,  0,"DV-I", 76.147,  0.396,0.070,0.006,0.158,0.014,0.770,0.050,"-","Gr12b",""
  5258,"1989 AU1   ","05258   ",10.20,+0.15,2455500.1242850, 18,  0,  7,  0,"DV-I", 53.275,  4.429,0.052,0.014,0.111,0.024,0.770,0.050,"-","Gr12b",""
  5259,"-          ","05259   ",10.20,+0.15,2455224.6951685, 11,  0, 11, 12,"DVBI", 44.741,  1.058,0.073,0.007,0.127,0.022,0.833,0.032,"-","Gr12b",""
  5264,"-          ","05264   ", 9.30,+0.15,2455437.6852405, 10,  9, 13,  0,"DV-I", 68.472,  1.191,0.072,0.024,0.146,0.016,0.770,0.050,"-","Gr12b",""
  5283,"-          ","05283   ", 9.70,+0.15,2455439.8629085, 14, 12, 16,  0,"DV-I", 48.356,  0.423,0.100,0.013,0.158,0.012,0.770,0.050,"-","Gr12b",""
  5284,"-          ","05284   ",10.00,+0.15,2455326.7521670, 15, 14, 15,  0,"DV-I", 50.159,  0.462,0.070,0.009,0.148,0.020,0.770,0.050,"-","Gr12b",""
  5285,"-          ","05285   ", 9.90,+0.15,2455237.8586030, 14,  0, 14, 14,"DVBI", 49.606,  0.749,0.079,0.010,0.137,0.010,0.797,0.018,"-","Gr12b",""
  5436,"-          ","05436   ",10.40,+0.15,2455205.1770080,  0,  0, 10, 10,"DVB-", 37.696,  0.329,0.086,0.013,0.172,0.045,0.867,0.014,"-","Gr12b",""
  5476,"1989 TO11  ","05476   ",10.40,+0.15,2455298.8291195,  0,  0, 14, 14,"DVB-", 35.096,  0.473,0.099,0.019,0.198,0.029,0.937,0.020,"-","Gr12b",""
  5511,"-          ","05511   ",10.20,+0.15,2455319.9336285, 14, 11, 13, 14,"DVBI", 39.773,  0.425,0.093,0.013,0.147,0.017,0.741,0.018,"-","Gr12b",""
  5637,"-          ","05637   ",11.50,+0.15,2455317.4916010,  0,  0, 15, 15,"DVB-", 28.168,  0.321,0.056,0.008,0.112,0.023,0.947,0.010,"-","Gr12b",""
  5638,"-          ","05638   ",10.40,+0.15,2455296.1836740, 11,  0, 13, 13,"DVBI", 41.455,  0.482,0.071,0.010,0.151,0.016,0.822,0.012,"-","Gr12b",""
  5648,"1990 VU1   ","05648   ", 9.60,+0.15,2455270.4493195,  0,  0,  8, 11,"DVB-", 59.295,  1.354,0.073,0.015,0.145,0.038,0.755,0.026,"-","Gr12b",""
  5652,"-          ","05652   ",10.00,+0.15,2455218.5756525, 11,  9, 10, 11,"DVBI", 53.921,  0.486,0.061,0.011,0.142,0.022,0.750,0.009,"-","Gr12b",""
  5907,"1989 TU5   ","05907   ",11.00,+0.15,2455306.8365835, 10,  0, 11, 11,"DVBI", 31.248,  0.684,0.072,0.013,0.134,0.010,0.775,0.030,"-","Gr12b",""
  6002,"1988 RO    ","06002   ",10.40,+0.15,2455299.8212735,  0,  0, 14, 14,"DVB-", 40.408,  0.466,0.075,0.009,0.150,0.040,0.813,0.015,"-","Gr12b",""
  6090,"1989 DJ    ","06090   ", 9.40,+0.15,2455442.4376815, 14, 12, 15,  0,"DV-I", 59.568,  0.702,0.087,0.014,0.145,0.014,0.770,0.050,"-","Gr12b",""
  6144,"-          ","06144   ",11.50,+0.15,2455210.9979050,  0,  0, 11, 11,"DVB-", 32.492,  1.094,0.042,0.006,0.084,0.013,0.882,0.030,"-","Gr12b",""
  6545,"1986 TR6   ","06545   ",10.00,+0.15,2455225.9546695, 12, 11, 13, 13,"DVBI", 50.951,  0.569,0.068,0.009,0.127,0.009,0.769,0.010,"-","Gr12b",""
  6997,"-          ","06997   ",10.40,+0.15,2455308.9500155,  0,  0, 16, 16,"DVB-", 37.549,  0.216,0.087,0.011,0.173,0.037,0.795,0.009,"-","Gr12b",""
  6998,"-          ","06998   ",11.66,+0.23,2455378.5553085,  0,  0, 17, 14,"DVB-", 27.828,  0.426,0.049,0.008,0.099,0.015,0.768,0.016,"-","Gr12b",""
  7119,"-          ","07119   ", 9.70,+0.15,2455506.1427870, 27, 28, 14,  0,"DV-I", 59.150,  0.375,0.067,0.010,0.148,0.014,0.770,0.050,"-","Gr12b",""
  7152,"-          ","07152   ",10.20,+0.15,2455204.6460060,  7,  0,  6,  7,"DVBI", 39.770,  0.201,0.093,0.022,0.133,0.013,0.737,0.018,"-","Gr12b",""
  7214,"-          ","07214   ",11.50,+0.15,2455235.8101170,  0,  0, 11, 11,"DVB-", 19.996,  0.452,0.111,0.016,0.222,0.037,0.979,0.029,"-","Gr12b",""
  7352,"1994 CO    ","07352   ", 9.80,+0.15,2455285.5328105,  0,  0, 10, 11,"DVB-", 47.731,  0.789,0.093,0.023,0.186,0.106,0.754,0.019,"-","Gr12b",""
  7543,"-          ","07543   ",10.60,+0.15,2455226.5469190, 12, 10, 12, 11,"DVBI", 42.893,  0.578,0.055,0.004,0.149,0.007,0.680,0.018,"-","Gr12b",""
  7641,"1986 TT6   ","07641   ", 9.30,+0.15,2455206.3044625,  5,  5,  5,  5,"DVBI", 71.839,  1.644,0.065,0.011,0.138,0.012,0.808,0.029,"-","Gr12b",""
  7815,"-          ","07815   ",10.10,+0.15,2455290.9888570,  0,  0, 11, 11,"DVB-", 42.516,  0.955,0.089,0.008,0.178,0.059,0.812,0.025,"-","Gr12b",""
  8060,"-          ","08060   ",10.80,+0.15,2455232.6372360, 10,  0, 11, 11,"DVBI", 37.873,  0.567,0.059,0.013,0.087,0.009,0.808,0.014,"-","Gr12b",""
  8125,"-          ","08125   ",10.70,+0.15,2455239.3875505,  0,  0, 12, 11,"DVB-", 27.088,  0.383,0.126,0.011,0.253,0.088,0.756,0.022,"-","Gr12b",""
  8241,"-          ","08241   ",11.10,+0.15,2455229.9237345,  0,  0, 12, 12,"DVB-", 27.174,  1.172,0.087,0.025,0.174,0.031,0.978,0.052,"-","Gr12b",""
  8317,"-          ","08317   ",11.33,+0.23,2455356.2571770,  0,  0, 13, 12,"DVB-", 26.210,  0.394,0.076,0.016,0.151,0.084,0.899,0.022,"-","Gr12b",""
  9023,"-          ","09023   ",10.00,+0.15,2455287.9773800,  0,  0, 11, 12,"DVB-", 49.151,  0.588,0.073,0.014,0.146,0.027,0.799,0.019,"-","Gr12b",""
